tour_code,tour_title,nights,days,day,location,activity,Typical visit time
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,5,NUWARA ELIYA,Gregory Lake,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,3,NUWARA ELIYA,Hanuman ji Temple,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,4,NUWARA ELIYA,Sita Amman Temple ,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,4,NUWARA ELIYA,Gregory Lake,Evening
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Hanuman ji Temple,Evening
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Tea Factory,Evening
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,4,NUWARA ELIYA,Sita Amman Temple,Morning
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,4,NUWARA ELIYA,Gregory Lake,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,4,NUWARA ELIYA,Ramboda falls,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,4,NUWARA ELIYA,Tea Factory and Tea Plantation,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,4,NUWARA ELIYA, KANDY to Nanu-Oya train ride,Evening
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,5,NUWARA ELIYA,Lake Gregory,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,5,NUWARA ELIYA,Haggala garden,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,5,NUWARA ELIYA,Strawberry Garden,Evening
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,6,NUWARA ELIYA,Devon falls view,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,2,NUWARA ELIYA,Hanuman ji Temple,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,2,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,3,NUWARA ELIYA,Sita Amman Temple,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,3,NUWARA ELIYA,Gregory Lake,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,3,NUWARA ELIYA,Strawberry Garden,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,4,NUWARA ELIYA,09 Arch Bridge,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,4,NUWARA ELIYA,Ravana cave,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,4,NUWARA ELIYA,Ravana waterfalls ,Evening
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,5,NUWARA ELIYA,Hanuman ji Temple,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,5,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,6,NUWARA ELIYA,Sita Amman Temple,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,6,NUWARA ELIYA,Gregory Lake,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,6,NUWARA ELIYA,Strawberry Garden,Evening
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,1,PINNAWELA,PINNAWELA Elephant Orphanage,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,1,PINNAWELA,PINNAWELA Elephant Orphanage,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,1,PINNAWELA,PINNAWELA Elephant Orphanage,Morning
